Fitness,Location
0.5573475980252771,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.5924743534598323,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)"
0.502137445729406,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)"
0.5131147424989715,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)"
0.3942354224672001,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)"
0.4557061261509669,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)"
0.39805026141096805,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)"
0.6771926986558549,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)"
0.47246260948862046,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)"
0.6235479809281467,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)"
0.30689253423733576,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)"
0.5600255460984656,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)"
0.4737617430750668,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)"
0.5845220109466543,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)"
0.4329627149138645,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)"
0.6007567807406523,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)"
0.42377459585286614,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)"
0.4601269137938018,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)"
0.47980989263532303,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)"
0.29967904323706185,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)"
0.5285115282693645,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)"
0.42402049862716706,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)"
0.65008975633621,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)"
0.5226046001524074,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)"
0.5906720305976293,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)"
0.5245408463322373,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)"
0.4774500308758453,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)"
0.31400618869852,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)"
0.32071145018091357,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)"
0.517901664526046,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)"
0.437204115287534,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)"
0.3536103301374433,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)"
0.3731254939630103,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)"
0.3962671828562729,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)"
0.5693351075974912,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)"
0.6429122063059932,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)"
0.486334741293098,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)"
0.38402375456870985,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)"
0.4137078323368148,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)"
0.4730056027103339,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)"
