,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.027949053578813117,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.1287880336388935,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.10796787234056572,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.1382037425131229,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.3351228623073735,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.41492888226298524,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.3091006999597227,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.2064362498602857,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.22855206368554457,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.16302310133499837,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.30109297787815703,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.14029026429832986,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.21586455204135557,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.2639240741238228,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.4258764752015688,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.036107528457779134,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.10806764686210368,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.17846553882875185,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.33287509158484985,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.23292457041286957,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.22830489214641253,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.4251439023444593,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.35527268597231987,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.20155859213743077,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.2907073130049004,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.16797560136044487,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.2134082718257989,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.28120766663612345,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.3685785264895152,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.4589378417910527,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.5491710857345639,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.04538101469602204,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.26603953569154015,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.2197573944478973,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.31304433709315826,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.1711357242550265,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.33471896986090005,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.23585737990138578,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.17682380154568123,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.14788954235760993,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.1811839778993173,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.1888483171099481,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.34538995432875425,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.39124809224994117,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.40121337873558305,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.471206390365939,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.5387410785185833,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.2360293311049717,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
